原 id,id,type,question,option_1,option_2,option_3,answer,media_file,解析,,,,,,
1,c_sgn_001,choice_image,,右彎,左彎,連續彎路先向右,1,c_sgn_001.webp,此為「右彎」警告標誌，提醒駕駛前方道路有向右的急彎，應減速慢行,,,,,,
2,c_sgn_002,choice_image,,左彎,右彎,連續彎路先向左,1,c_sgn_002.webp,此為「左彎」警告標誌，提醒駕駛前方道路有向左的急彎，應減速慢行,,,,,,
3,c_sgn_003,choice_image,,連續彎路先向右,左彎,連續彎路先向左,1,c_sgn_003.webp,此為「連續彎路先向右」警告標誌，提醒駕駛前方有連續彎路，且第一個彎向右,,,,,,
4,c_sgn_004,choice_image,,連續彎路先向左,右彎,連續彎路先向右,1,c_sgn_004.webp,此為「連續彎路先向左」警告標誌，提醒駕駛前方有連續彎路，且第一個彎向左,,,,,,
5,c_sgn_005,choice_image,,雙向道,狹路,岔路,3,c_sgn_005.webp,此為「岔路」警告標誌，表示前方路口為Ｙ字形分岔路，駕駛應注意行車方向,,,,,,
6,c_sgn_006,choice_image,,岔路,雙向道,此路不通,1,c_sgn_006.webp,此為「岔路」警告標誌，提醒駕駛前方有道路交會或分岔，應注意路況,,,,,,
7,c_sgn_007,choice_image,,右側車道縮減,狹路,匝道會車,1,c_sgn_007.webp,此為「右側車道縮減」警告標誌，提醒前方道路右側車道將縮減或封閉,,,,,,
8,c_sgn_008,choice_image,,狹路,狹橋,岔路,1,c_sgn_008.webp,此為「狹路」警告標誌，表示前方道路路幅將變窄，會車時應小心慢行,,,,,,
9,c_sgn_009,choice_image,,岔路,狹橋,匝道會車,3,c_sgn_009.webp,此為「匝道會車」警告標誌，提醒駕駛前方有車輛將從匝道匯入主車道，應注意禮讓,,,,,,
10,c_sgn_010,choice_image,,單行道,雙向道,狹路,2,c_sgn_010.webp,此為「雙向道」警告標誌，表示單行道將變為雙向道，或提醒穿越雙向道路,,,,,,
11,c_sgn_011,choice_image,,左彎,圓環,岔路,2,c_sgn_011.webp,此為「圓環」警告標誌，提醒駕駛前方為圓環交叉路口，應依規定禮讓車輛,,,,,,
12,c_sgn_012,choice_image,,路面顛簸,路面高突,路面低窪,1,c_sgn_012.webp,此為「路面顛簸」警告標誌，提醒駕駛前方路面不平整，行車應減速慢行,,,,,,
13,c_sgn_013,choice_image,,岔路,狹橋,狹路,2,c_sgn_013.webp,此為「狹橋」警告標誌，提醒駕駛前方橋樑寬度狹窄，會車時需特別注意,,,,,,
14,c_sgn_014,choice_image,,路面顛簸,險升坡,路面高突,3,c_sgn_014.webp,此為「路面高突」警告標誌，提醒駕駛前方路面有隆起，行車應減速,,,,,,
15,c_sgn_015,choice_image,,險降坡,險升坡,碼頭,1,c_sgn_015.webp,此為「險降坡」警告標誌，提醒駕駛前方有陡峭下坡路段，應採低速檔慢行,,,,,,
16,c_sgn_016,choice_image,,右側斷崖,注意落石,左側斷崖,3,c_sgn_016.webp,此為「左側斷崖」警告標誌，提醒駕駛前方道路左側為斷崖，行車應靠右並小心駕駛,,,,,,
17,c_sgn_017,choice_image,,無柵門鐵路平交道,有柵門鐵路平交道,禁止汽車進入,1,c_sgn_017.webp,此為「無柵門鐵路平交道」警告標誌，提醒駕駛前方有平交道，但未設柵門管制,,,,,,
18,c_sgn_018,choice_image,,注意號誌,危險,慢行,1,c_sgn_018.webp,此為「注意號誌」警告標誌，提醒駕駛前方設有交通號誌，應依規定行駛,,,,,,
19,c_sgn_019,choice_image,,禁止汽車進入,無柵門鐵路平交道,有柵門鐵路平交道,3,c_sgn_019.webp,此為「有柵門鐵路平交道」警告標誌，提醒駕駛前方有平交道，且設有柵門管制,,,,,,
20,c_sgn_020,choice_image,,路面高突,路滑,禁止超車,2,c_sgn_020.webp,此為「路滑」警告標誌，提醒駕駛前方路面濕滑或摩擦力低，行車應特別小心,,,,,,
21,c_sgn_021,choice_image,,狹路,隧道,狹橋,2,c_sgn_021.webp,此為「隧道」警告標誌，提醒駕駛前方道路進入隧道，應開啟頭燈,,,,,,
22,c_sgn_022,choice_image,,禁止汽車進入,當心台車,當心行人,2,c_sgn_022.webp,此為「當心台車」警告標誌，提醒駕駛前方路段可能有台車出入，應注意安全,,,,,,
23,c_sgn_023,choice_image,,當心行人,當心兒童,禁止行人通行,2,c_sgn_023.webp,此為「當心兒童」警告標誌，提醒駕駛前方可能有兒童出沒，應減速慢行,,,,,,
24,c_sgn_024,choice_image,,當心兒童,當心行人,禁止行人通行,2,c_sgn_024.webp,此為「當心行人」警告標誌，提醒駕駛前方路段有行人穿越或通行，應禮讓,,,,,,
25,c_sgn_025,choice_image,,停車再開,讓路,慢行,3,c_sgn_025.webp,此為「慢行」警告標誌，提醒駕駛應減速慢行，注意前方路況，確保行車安全,,,,,,
26,c_sgn_026,choice_image,,險降坡,碼頭、堤岸,路滑,2,c_sgn_026.webp,此為「碼頭、堤岸」警告標誌，提醒駕駛前方臨水，需小心駕駛，慎防墜落,,,,,,
27,c_sgn_027,choice_image,,危險路面,注意左側落石,注意右側落石,3,c_sgn_027.webp,此為「注意右側落石」警告標誌，提醒駕駛前方山區路段右側有落石可能，應提高警覺,,,,,,
28,c_sgn_028,choice_image,,狹橋,危險,慢行,2,c_sgn_028.webp,此為「危險」警告標誌，提醒駕駛前方有特殊危險，應提高警覺並採取必要措施,,,,,,
29,c_sgn_029,choice_image,,靠右行駛,單行道,可以右轉,1,c_sgn_029.webp,此為「靠右行駛」指示標誌，指示車輛應從右側行駛，確保交通順暢,,,,,,
30,c_sgn_030,choice_image,,禁止停車,停車檢查,禁止汽車進入,2,c_sgn_030.webp,此為「停車檢查」指示標誌，指示駕駛人必須停車接受檢查，通常設於檢查哨,,,,,,
