原 id,id,type,question,option_1,option_2,option_3,answer,media_file,解析,,,,,,
1,c_txt-tf_001,choice_text,尊重生命是駕駛道德最重要的一點，我們開車時要處處顧及行人，尤其應該注意讓老弱婦孺身心障礙者優先通行,○,X,,1,,駕駛人應將尊重生命視為最高道德，尤其要禮讓行人、老弱婦孺及身心障礙者優先通行，確保所有用路人的安全,○,,,,,
2,c_txt-tf_002,choice_text,遵守交通法規與秩序，只算是優良駕駛人，與駕駛道德無關,○,X,,2,,遵守交通法規與秩序是駕駛道德的基礎，優良駕駛行為不僅包含守法，更應展現禮讓、尊重生命的道德素養,X,,,,,
3,c_txt-tf_003,choice_text,汽油著火時，應用滅火器、泥沙或用水浸濕棉被、衣服覆蓋撲滅,○,X,,1,,汽油火災應使用滅火器、泥沙或濕棉被等覆蓋方式滅火，以隔絕空氣切勿直接用水潑灑，以免火勢擴散,○,,,,,
4,c_txt-tf_004,choice_text,禮讓與寬容是駕駛道德的最好表現,○,X,,1,,禮讓與寬容是展現良好駕駛道德的核心行為，有助於維持交通順暢、減少衝突，並提升道路整體安全,○,,,,,
5,c_txt-tf_005,choice_text,在狹窄道路上會車，一定要互相禮讓,○,X,,1,,狹窄道路會車時，駕駛人必須互相禮讓，必要時應減速或停車讓對方先行，以確保雙方安全通行,○,,,,,
6,c_txt-tf_006,choice_text,綠燈允許你依序通過，但駕駛人仍應注意違規闖紅燈的人和車,○,X,,1,,即使是綠燈通行，駕駛人仍應保持警覺，注意左右來車及行人，防範可能闖紅燈的違規行為，確保安全,○,,,,,
7,c_txt-tf_007,choice_text,看見前面車禍有人受傷，沒有人管，我自已要趕路，明明看（聽）到受傷的人在慘叫，也只有不管,○,X,,2,,駕駛人發現車禍有人受傷，應基於人道精神與駕駛道德伸出援手，立即撥打 119 或 110 求助，切勿見死不救,X,,,,,
8,c_txt-tf_008,choice_text,我們在開車前仔細檢查汽車，使其保持良好性能，行駛中處處顧及行人與其他車輛，也是駕駛道德的表現,○,X,,1,,開車前仔細檢查車輛並確保其良好性能，以及行駛中處處顧及他人的安全，都是負責任且具道德感的駕駛行為,○,,,,,
9,c_txt-tf_009,choice_text,後面汽車為避免灰塵而超越我車，我也討厭灰塵，只有再超越前車,○,X,,2,,駕駛人應避免惡性競爭、連續超車，此舉容易造成危險應保持禮讓，維護行車秩序及安全,X,,,,,
10,c_txt-tf_010,choice_text,大雨使路上到處積滿污水，路邊行人雖多，但我怕阻礙後面汽車通行，只得快速通過,○,X,,2,,雨天行經積水路段或行人旁，應減速慢行，避免濺起水花影響行人及其他用路人，展現駕駛道德,X,,,,,
11,c_txt-tf_011,choice_text,行車起駛、換檔、轉彎或煞車，都應顧及乘客的安全和舒適，還要注意路上車輛及行人的安全,○,X,,1,,駕駛人操作車輛時，應全程考量乘客的舒適與安全，同時兼顧道路上其他車輛及行人的安全,○,,,,,
