原 id,id,type,question,option_1,option_2,option_3,answer,media_file,解析,,,,,,
1,c_txt_001,choice_text,(testtest)汽車在隧道內行駛時：,白天不須開燈，晚上才開燈，以節省電力,應開燈、減速慢行，以策安全,應開亮頭燈並依規定速限行駛,3,,汽車在隧道內行駛時，應不分晝夜開亮頭燈，並依規定速限行駛，以確保安全,,,,,,
2,c_txt_002,choice_text,夜間跟隨前車行駛之車輛：,用近光燈,用遠光燈,不必開燈,1,,夜間跟隨前車行駛時，應使用近光燈，避免遠光燈造成前車駕駛眩光,,,,,,
3,c_txt_003,choice_text,汽車駕駛人最重要的是：,要有重視人命的道德觀念,為趕時間可開快車,注意沿路風景,1,,汽車駕駛人最重要的道德觀念是重視人命，安全駕駛,,,,,,
4,c_txt_004,choice_text,汽車在夜間行經市區照明情況良好處應該：,開近光燈,開遠光燈,多鳴喇叭,1,,夜間行經市區照明良好處應開近光燈，避免遠光燈影響對向或前方車輛駕駛,,,,,,
5,c_txt_005,choice_text,當我車前燈遠光將要照射到來車駕駛人眼睛前，應：,改用近光燈,燈光全熄,仍開遠光燈,1,,當前燈遠光將照射到來車駕駛人眼睛時，應立即改用近光燈，避免造成眩光危險,,,,,,
6,c_txt_006,choice_text,乘客遺留財物在車上，應：,通知乘客並可索取其物價值十分之一以上的報酬,捐贈公益團體幫助弱勢,送交附近警察機關招領,3,,乘客遺留財物在車上，應送交附近警察機關招領，不可私自處理或要求報酬,,,,,,
7,c_txt_007,choice_text,客車上下乘客應在：,右邊路側,左邊路側,任意停放即可,1,,客車上下乘客應在右邊路側停靠，以確保乘客安全上下車,,,,,,
8,c_txt_008,choice_text,在內側車道行駛之汽車，利用外側車道超車：,不可以,可以,沒有規定,1,,在內側車道行駛的汽車，不可以使用外側車道超車，應遵守車道分向規定,,,,,,
9,c_txt_009,choice_text,汽車駕駛人對乘客或貨主最優良的服務是安全、舒適、快捷，如果三者難以兼顧時，應以何者為優先：,舒適,快捷,安全,3,,駕駛人對乘客或貨主服務，應以「安全」為最優先考量，其次為舒適、快捷,,,,,,
10,c_txt_010,choice_text,汽車駕駛人的守法是為了：,害怕取締處罰而守法,責任、榮譽及他人和自己的安全而守法,有人監督而守法,2,,汽車駕駛人守法是為了責任、榮譽，以及自己與他人的生命安全，而非僅懼怕處罰,,,,,,
11,c_txt_011,choice_text,汽車駕駛人見到其他車輛或行人不良的表現，就會逞強好勝，意氣用事，性情暴躁，容易衝動，要如何去克制自己：,忍耐與禮讓,據理力爭,以牙還牙,1,,面對其他車輛或行人的不良表現，駕駛人應以忍耐與禮讓克制衝動，維持行車秩序,,,,,,
12,c_txt_012,choice_text,汽車駕駛人駕車行經交通混亂繁雜的地方，或道路施工地段應：,加速通過,按喇叭搶先通過,互相禮讓,3,,行經交通混亂或道路施工地段，應減速慢行、互相禮讓，確保行車安全,,,,,,
13,c_txt_013,choice_text,汽車油箱加油時：,引擎必須先熄火,引擎不必熄火,引擎熄火不熄火都無所謂,1,,汽車油箱加油時，引擎必須先熄火，以避免引發火災等危險,,,,,,
14,c_txt_014,choice_text,車輛行駛時，乘客頭手,可以伸出窗外,不可以伸出窗外,天氣熱時可以伸出窗外，天氣冷時不可伸出窗外,2,,車輛行駛時，乘客的頭手絕不可以伸出窗外，避免發生危險,,,,,,
15,c_txt_015,choice_text,汽車駕駛人若想維持良好交通秩序，促進社會安全與家庭幸福應具有：,駕駛道德與守法精神,僅重視駕駛技術,冒險犯難的精神,1,,為維持良好交通秩序、促進社會安全，駕駛人應具備駕駛道德與守法精神,,,,,,
16,c_txt_016,choice_text,汽車駕駛人應：,注重駕駛技術，不用注重駕駛道德,行車時應遵守交通規則，保持安全第一,為了準時到達目的地，可以超速或闖紅燈,2,,駕駛人行車應遵守交通規則，將「安全第一」作為最高原則,,,,,,
17,c_txt_017,choice_text,我是優良駕駛員，隨時隨地遵守交通規則，希望(交通)警察為了交通安全，對於違規駕駛人應：,加強稽查從嚴取締,不要稽查與取締,只要稽查，不必取締,1,,為確保交通安全，對於違規駕駛人，交通警察應加強稽查並從嚴取締,,,,,,
18,c_txt_018,choice_text,行車至交岔路口，並已越過停止線，如果黃燈亮了，應該：,停車,退回行人穿越道後面,繼續前進,3,,行車至交岔路口已越過停止線，黃燈亮起時應繼續前進，避免停在路口中央,,,,,,
19,c_txt_019,choice_text,跟前車行到鐵路平交道前應該：,減速慢行與前車保持適當距離,與平常一樣行駛,加速通過平交道,1,,跟隨前車行到鐵路平交道前，應減速慢行並保持適當距離，等待前車完全通過,,,,,,
20,c_txt_020,choice_text,基於行車安全，作為一個汽車駕駛人，要重視：,僅汽車儀容即可,安全重於時間的觀念,僅交通設施即可,2,,作為汽車駕駛人，應將行車安全置於時間考量之上,,,,,,
21,c_txt_021,choice_text,汽車駕駛人要確保自己和他人的安全，日常應在道德修養上下功夫，盡量：,克制自己，幫助他人,防止他人逞強,想法子對付他人,1,,為確保自己與他人安全，駕駛人應克制自己，展現道德修養，並幫助他人,,,,,,
22,c_txt_022,choice_text,在駕車時，如發現有人牽著動物橫越道路時應:,按鳴喇叭，促其趕快通過,加速搶越通過,減速慢行，待其通過後再前進,3,,駕車發現有人牽動物橫越道路時，應減速慢行，待其安全通過後再前進,,,,,,
23,c_txt_023,choice_text,駕車行經泥濘或積水地段正有行人行走時應：,減速慢行，避免污水濺及行人,加速衝過積水,連續按鳴喇叭及變換燈光，迫使行人讓道,1,,行經泥濘或積水地段且有行人時，應減速慢行，避免污水濺及行人,,,,,,
24,c_txt_024,choice_text,汽車行駛於道路時，駕駛人：,可以手持方式使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊或其他有礙駕駛安全之行為,不可以手持方式使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊或其他有礙駕駛安全之行為,路況良好時可以手持方式使用行動電話、電腦或其他相類功能裝置進行撥接、通話、數據通訊或其他有礙駕駛安全之行為,2,,汽車行駛於道路時，駕駛人嚴禁手持方式使用行動電話等裝置，以免影響駕駛安全,,,,,,
25,c_txt_025,choice_text,在狹路與他車交會時應：,搶先前進迫使對方讓路,減速，尋找路幅較寬處停車避讓,大鳴喇叭，警告對方避讓,2,,在狹窄路段與他車交會時，應減速並尋找路幅較寬處停車避讓，不可搶道,,,,,,
26,c_txt_026,choice_text,遇老弱婦孺身心障礙者乘搭客車時應：,婉拒乘載,待全部上車坐穩後再行開車,可以趁機加倍收費,2,,遇老弱婦孺身心障礙者乘搭客車時，應等待全部上車並坐穩後，再開車,,,,,,
27,c_txt_027,choice_text,在行車途中，如目睹發生車禍，你應該：,儘速駛離現場,暫留現場協助救護，並向處理人員作證,如有查詢謊稱未看到,2,,目睹車禍發生時，應暫留現場協助救護，並向處理人員作證，提供協助,,,,,,
28,c_txt_028,choice_text,在行車途中，精神疲勞稍有睡意，你應該怎麼辦：,提起精神，並減速慢行,擦抹或服食藥物助長精神，照常行駛,在最近適當路邊停車，下車稍作休息，恢復精神再開車,3,,行車中感到精神疲勞或有睡意時，應立即在適當路邊停車休息，恢復精神後再駕駛,,,,,,
29,c_txt_029,choice_text,在雙向二車道上〝欲〞超越前行車，發現對向有來車，你應該：,立即減速放棄超車,馬上加速搶先超越,按鳴喇叭，促來車減速或避讓,1,,在雙向二車道欲超越前車，若發現對向有來車，應立即減速並放棄超車，確保安全,,,,,,
30,c_txt_030,choice_text,雨天行車通過泥濘道路，輪胎發生打滑現象，你應該：,馬上踩煞車減速,變換低速檔，雙手緊握方向盤，注意車尾滑向，往同方向適度操作方向盤,踩油門加速通過,2,,雨天行車輪胎打滑時，應變換低速檔，緊握方向盤，並往車尾滑向的同方向適度修正,,,,,,
31,c_txt_031,choice_text,行車中，發覺煞車失靈應：,立即變換低速檔，並亮右側方向燈，作靠邊停車準備,立即向路旁停靠,開亮車頭燈，並鳴喇叭，促使前方人車注意避讓,1,,行車中發覺煞車失靈時，應立即變換低速檔，並亮右側方向燈準備靠邊停車,,,,,,
32,c_txt_032,choice_text,在哪種情形下，車輛可從公路行車分向線左邊行駛：,當車道範圍內右側停有車輛或障礙物而對向又無來車時,上下坡時,準備停車時,1,,當車道範圍內右側停有車輛或障礙物且對向無來車時，車輛可從公路行車分向線左邊行駛,,,,,,
33,c_txt_033,choice_text,在深夜郊外道路上，空曠無車無人的情況下：,可以超速行車,仍應按規定速限內行駛,可以稍微超過限制，但不宜太快,2,,即使在深夜郊外道路空曠無車，仍應遵守規定速限行駛，確保行車安全,,,,,,
34,c_txt_034,choice_text,汽車行經泥濘或積水路段，應：,加速通過以免陷入泥水中,按鳴喇叭，促使行人避讓,減速慢行，小心駕駛,3,,汽車行經泥濘或積水路段，應減速慢行，小心駕駛，避免失控或濺水,,,,,,
35,c_txt_035,choice_text,行駛前發現煞車或方向盤失靈，駕駛人應：,減速慢行,照往常一樣行駛,停止行駛，車輛送修,3,,行駛前發現煞車或方向盤失靈，應立即停止行駛，並將車輛送修，確保安全,,,,,,
36,c_txt_036,choice_text,汽車跟隨在消防車後急駛是：,可以,不可以,無規定,2,,汽車跟隨消防車急駛是不可以的，應禮讓執行緊急任務的車輛先行,,,,,,
37,c_txt_037,choice_text,行車速率愈高其反應距離：,不變,愈短,愈長,3,,行車速率愈高，駕駛人從發現狀況到採取行動的反應距離會愈長,,,,,,
38,c_txt_038,choice_text,飲酒後可以開車嗎？：,不可以,可以,慢慢開可以,1,,飲酒後絕對不可以開車，酒駕嚴重危害自身及他人生命安全,,,,,,
39,c_txt_039,choice_text,夜間行車交會，對方不變換近光燈時，應如何處理：,以眼還眼，也用遠光燈報復,不和對方一般見識以近光燈減速行駛,無所謂,2,,夜間行車交會，對方不變換近光燈時，應保持理性，自己使用近光燈並減速行駛,,,,,,
40,c_txt_040,choice_text,駕駛人在高速行車狀況下，生理上對於緊急事件之處理：,反應較平時遲鈍，應變能力減退,和平時狀況不變,比較平時更易處理,1,,駕駛人在高速行車狀況下，生理反應較遲鈍，應變能力會減退,,,,,,
