原 id,id,type,question,option_1,option_2,option_3,answer,media_file,解析,,,,,,
1,m_hzd_001,choice_video,身為騎士的您，當左側車輛顯示方向燈欲變換車道或轉彎時，應如何行駛較為安全？,注意相鄰車輛狀況，預作煞車或減速的準備,按鳴喇叭，促使對方避讓，讓自己前進,只要自己安全無虞，不用理會其他的用路人,1,m_hzd_001.webm,左側車輛欲變換車道或轉彎，應注意其動態，預先準備煞車或減速，以防突發狀況,,,,,,
2,m_hzd_002,choice_video,身為騎士的您，行經號誌化路口，當對向有左轉車輛時，應如何行駛較為安全？,只要注意路口紅綠燈號，綠燈亮起就代表可以通行，無須注意周遭車輛,隨時注意周遭車輛，感知對向車輛可能未依規定轉彎，須預作準備,對向車輛轉彎未依規定顯示方向燈，所以我車要加速通過路口,2,m_hzd_002.webm,行經路口遇對向左轉車，應注意其動態，感知對方可能未依規定轉彎，隨時準備應變，確保安全,,,,,,
3,m_hzd_003,choice_video,身為騎士的您，在路口有視線遮蔽之橫向道路有車輛突然駛出時，應如何行駛較為安全？,騎乘機車時，除注意車前狀況外，也應留意橫向道路車輛的動態,為了阻止對方車輛違規，所以我車要搶先前進，使對方讓道,遇到突然駛出的車輛，要立刻緊急煞車停止，才是安全行為,1,m_hzd_003.webm,行經視線遮蔽路口，除注意前方，更應留意橫向道路突然駛出的車輛動態，預做反應,,,,,,
4,m_hzd_004,choice_video,身為騎士的您，看到前方道路右側路外停車場出入口有車輛駛出時，應如何行駛較為安全？,駕車為了安全，眼睛只能直視前方，不需要注意左右方向道路情況,駕車除了注意前方狀況外，也要注意周圍車輛是否會突然駛出,只要自己安全無虞，看到其他車輛從路旁駛出亦無須理會,2,m_hzd_004.webm,駕駛應實踐防禦駕駛，不僅注意前方，也要留意周圍環境，特別是出入口是否有車輛突然駛出,,,,,,
5,m_hzd_005,choice_video,身為騎士的您，看到前方左側車道車輛突然往右變換車道時，應如何行駛較為安全？,騎乘機車時，除注意車前狀況外，也應留意左右車道車輛的動態,由於所有的用路人都會遵守交通規則，所以我們不須隨時保持警覺,只要自己安全無虞，看到其他車輛從路旁突然衝出都無須理會,1,m_hzd_005.webm,騎車應全面觀察，除車前狀況，更需留意左右車道車輛動態，預防突發變換車道,,,,,,
6,m_hzd_006,choice_video,身為騎士的您，看到前方非號誌路口右方有車輛突然駛出時，應如何行駛較為安全？,雖然自己是行駛在幹道上，但還是要隨時注意支道車輛動態,行經非號誌路口時，要看雙方道路大小來判斷是否需要停車再開,行經非號誌路口時，如果對方車輛是左方車，就可加速通過,1,m_hzd_006.webm,行經非號誌路口，即使在幹道也應提高警覺，注意支道車輛動態，預防其突然駛出,,,,,,
7,m_hzd_007,choice_video,身為騎士的您，看到前方非號誌路口右方有車輛突然駛出時，應如何行駛較為安全？,應該善用機車短小輕巧的優勢，搶先穿過路口,按鳴喇叭，示警對方避讓，讓我車通過,不論有無交通號誌，都應注意周遭車輛動態,3,m_hzd_007.webm,無論路口有無號誌，駕駛都應保持防禦駕駛觀念，隨時注意周遭車輛動態，確保行車安全,,,,,,
8,m_hzd_008,choice_video,身為騎士的您，看到前方行人從暗處行經行人穿越道時，應如何行駛較為妥適？,機車行近行人穿越道或轉彎時，均應停讓行人優先通行,因為我車行向是綠燈，可按鳴喇叭，促使行人避讓我車前進,由於行人是不依號誌穿越行人穿越道，所以我不用禮讓他,1,m_hzd_008.webm,行經行人穿越道或轉彎時，無論行人狀況，都應主動停讓，確保行人優先通行權與安全,,,,,,
9,m_hzd_009,choice_video,身為騎士的您，當遇到有車輛跨越分向限制線逆向超車時，應如何行駛較為安全？,以安全駕駛而言，看到後應該立即煞車，不用理會後方來車,以防禦駕駛而言，應預想對向車輛可能跨越中心線，隨時注意,以預防肇事而言，過彎時要按鳴喇叭，讓對向車道注意我車,2,m_hzd_009.webm,防禦駕駛要求駕駛預判對向車輛可能違規跨越中心線，應隨時保持警覺，做好應變準備,,,,,,
10,m_hzd_010,choice_video,身為騎士的您，當遇到有車輛跨越分向限制線逆向超車時，應如何行駛較為安全？,利用機車 ABS 裝置逐漸減速，並往安全方向閃避,保持在固定的車道上行駛，維持適當的速度,利用機車 ABS 裝置逐漸減速，並往車多方向閃避,1,m_hzd_010.webm,遇對向逆向超車，應立即減速並往安全方向閃避，避免直接碰撞，確保自身安全,,,,,,
11,m_hzd_011,choice_video,身為騎士的您，當發現路旁有車輛使用方向燈欲進入我車行進車道時，應如何行駛較為妥適？,減速慢行，觀察旁邊車輛動向，並做隨時停車之準備,按鳴喇叭，示警對方車輛立即避讓，以便讓我車通過,只要專心注意前方有無來車即可，不需要禮讓該車通過,1,m_hzd_011.webm,遇路旁車輛欲匯入車道，應減速慢行，觀察動向，並隨時準備停車，禮讓對方安全匯入,,,,,,
12,m_hzd_012,choice_video,身為騎士的您，當發現前方道路放置有車輛故障標誌時，應如何行駛較為妥適？,不用管其他用路人行為，我車繼續往前加速繞過行進即可,減速慢行，認知前方可能有故障車輛或事故現場，避免追撞,只要專心注意前方有無來車即可，不需要禮讓該車通過,2,m_hzd_012.webm,看到故障標誌表示前方可能發生事故或有故障車，應減速慢行，提高警覺，避免追撞,,,,,,
13,m_hzd_013,choice_video,身為騎士的您，當發現前方有球、小孩、行人或其他異物侵入車道時，應如何行駛較為妥適？？,應鬆開油門減速慢行，並預做隨時停車之準備,按鳴喇叭，遏阻可能追球的小孩或行人撞上我車,只是一顆球或其他異物侵入車道，完全無須理會,1,m_hzd_013.webm,遇車道有異物或行人，應立即鬆油門減速慢行，並準備隨時停車，確保自身與他方安全,,,,,,
14,m_hzd_014,choice_video,身為騎士的您，當現場視線不佳或視線昏暗情況下，發現右方有路邊停車，且右側機車為閃避該車而變換行向通過我車前方時，應如何行駛較為安全？,直接煞車，且不用考慮就往左變換行向，以閃避該機車及路邊停車,應減速慢行，擺頭確認左方無來車，顯示方向燈往左變換車道,直接緊急變換車道，並按鳴喇叭，以避免自己被該機車撞到,2,m_hzd_014.webm,視線不佳遇右側機車閃避變換行向，應減速慢行，確認左方無來車，打方向燈後再安全變換車道,,,,,,
15,m_hzd_015,choice_video,身為騎士的您，當進入、離開涵洞或隧道時，因光線強度的急遽變化容易造成眩光，應如何行駛較為安全？,進出涵洞或隧道時，應該要開啟車輛頭燈，減速拉大安全距離，並做隨時停車之準備,光線強度的急遽變化，對於騎士眼睛是沒有影響的，因此可以立刻變換車道或超車,光線強度的急遽變化，會讓騎士眼睛不舒服，因此要立刻在路邊緊急煞車暫停一下,1,m_hzd_015.webm,進出涵洞或隧道因光線變化，應開啟頭燈、減速並拉開安全距離，做好隨時停車準備,,,,,,
16,m_hzd_016,choice_video,身為騎士的您，如遇車輛由道路右方車道匯入時，應如何行駛較為安全？,行經無號誌路口或交岔路段時，應注意周遭車輛動態，避免事故的發生,因光線強弱不會影響騎士眼睛視力，所以不用注意周圍車輛動態,按鳴喇叭，示警對方車輛立即避讓，以便讓我車通過,1,m_hzd_016.webm,行經無號誌路口或交岔路段，應隨時注意周遭車輛動態，預防事故，實踐防禦駕駛,,,,,,
17,m_hzd_017,choice_video,身為騎士的您，遇到公車停靠路邊公車站時，應如何行駛較安全?,減速後先顯示右方向燈，察看右方及後方有無來車後從公車右側超車,減速後在公車後方安全距離停等，待公車起步後保持安全距離再行駛,緊靠公車後方停等，並按鳴喇叭，請公車盡快前行並緊靠公車行駛,2,m_hzd_017.webm,遇公車停靠，應在其後方保持安全距離停等，待公車起步後再安全跟隨或超越,,,,,,
18,m_hzd_018,choice_video,身為騎士的您，如欲從影片中公車左側繞行，應如何行駛較安全?,先顯示左方向燈，透過照後鏡及擺頭觀察左方及後方有無來車，判斷安全距離並注意公車動態，確認安全才可超越,機車駕駛人欲超越公車時，須顯示方向燈並注意公車車輛動向後，即可從公車右側超越,注意公車動態，如遇隔壁車道有車輛行駛，可從公車左側在車陣中同車道超越,1,m_hzd_018.webm,超越公車應顯示方向燈，透過後照鏡與擺頭確認左後方安全距離與來車，並注意公車動態後才可超越,,,,,,
19,m_hzd_019,choice_video,身為騎士的您，於巷弄中應如何行駛較安全?,依速限規定行駛，不須理會周遭車輛與行人之動向,維持原速度行駛，按鳴喇叭提醒周邊行人有機車行駛，使其自行避讓,依速限規定行駛，並預判周邊人車接下來可能的動向，避免反應不及發生危險,3,m_hzd_019.webm,巷弄行駛除遵守速限，更應預判周邊人車動向，隨時準備應變，避免反應不及造成危險,,,,,,
20,m_hzd_020,choice_video,身為騎士的您，行駛於巷弄中察覺有行人進入車道時，應如何行駛較安全?,先減速，繞過行人後駛離,先減速，按鳴喇叭提醒行人避讓,先減速並停等，禮讓行人先行,3,m_hzd_020.webm,巷弄遇行人進入車道，應立即減速並停等，禮讓行人優先通行，確保行人安全,,,,,,
21,m_hzd_021,choice_video,身為騎士的您，遇影片中路邊停車開車門，應如何行駛較安全?,提高警覺，與停靠於路邊的汽車保持安全間隔並減速慢行，做好隨時停車之準備,按鳴喇叭，警告汽車駕駛人，並盡快通過,應即變換車道閃避，儘速駛離以免發生碰撞,1,m_hzd_021.webm,遇路邊停車，應提高警覺，保持安全間隔並減速慢行，準備隨時停車，預防突然開車門,,,,,,
22,m_hzd_022,choice_video,身為騎士的您，遇影片中救護車輛執行任務穿越交岔路口時，應如何行駛較安全?,減速，閃過救護車並通過路口,救護車闖紅燈，無須避讓停等,聽聞救護車即應減速避讓，不得跟隨疾駛,3,m_hzd_022.webm,聽聞救護車執行任務，應立即減速避讓，讓其優先通行，切勿跟隨疾駛，確保救護效率,,,,,,
