原 id,id,type,question,option_1,option_2,option_3,answer,media_file,解析
9,m_sgn_001,choice_image,,車輛總重限制,車輛載重限制,車輛空重,1,m_sgn_001.webp,這是「總重限制」標誌紅圈禁制標誌內標示噸數，代表禁止總重量（含載重與乘客）超過該數值的車輛通行
67,m_sgn_002,choice_image,,路面高突,路滑,禁止超車,2,m_sgn_002.webp,此為「路滑」標誌，警告前方路段可能因潮濕或其他原因導致路面摩擦力降低，駕駛人應減速慢行
68,m_sgn_003,choice_image,,注意右側落石,斷崖,注意左側落石,3,m_sgn_003.webp,此為「注意左側落石」警告標誌，表示前方路段左側可能有落石，駕駛人應減速慢行，提高警覺
69,m_sgn_004,choice_image,,注意右側落石,注意左側落石,危險路面,1,m_sgn_004.webp,此為「注意右側落石」警告標誌，表示前方路段右側可能有落石，駕駛人應減速慢行，提高警覺
70,m_sgn_005,choice_image,,右側斷崖,碼頭堤岸,注意右側落石,1,m_sgn_005.webp,此為「右側斷崖」警告標誌，表示前方道路右側為懸崖或險坡，駕駛人行經時應格外小心，注意行車安全
71,m_sgn_006,choice_image,,警告號誌,危險,慢行,2,m_sgn_006.webp,此為「危險」警告標誌，通常以驚嘆號呈現，用於警告駕駛人前方有潛在危險，應減速慢行，提高警覺
72,m_sgn_007,choice_image,,此路不通,救護站,醫院,2,m_sgn_007.webp,此為「救護站」指示標誌，指示駕駛人前方或附近設有救護站點，提供緊急醫療服務
119,m_sgn_008,choice_image,,岔路,此路不通,匝道會車,3,m_sgn_008.webp,此為「匝道會車」警告標誌，表示前方有匝道匯入主線車流，駕駛人應注意車輛匯入，保持安全距離
120,m_sgn_009,choice_image,,岔路,匝道會車,狹橋,2,m_sgn_009.webp,此為「匝道會車」警告標誌，表示前方有匝道匯入主線車流，駕駛人應注意車輛匯入，保持安全距離
217,m_sgn_010,choice_image,,車輛寬度限制,禁止停車,車輛高度限制,1,m_sgn_010.webp,此為「車輛寬度限制」標誌，表示車輛寬度超過標示者禁止進入
218,m_sgn_011,choice_image,,車輛長度限制,車寬限制,禁止汽車進入,1,m_sgn_011.webp,此為「車輛長度限制」標誌，表示車輛長度超過標示者禁止進入
219,m_sgn_012,choice_image,,停車再開,停車檢查,禁止行人通行,2,m_sgn_012.webp,此為「停車檢查」標誌，表示車輛應停車受檢查
220,m_sgn_013,choice_image,,停車再開,停車檢查,禁止通行,2,m_sgn_013.webp,這是「停車檢查」標誌紅圈內寫有「關卡」與「停車」字樣，代表車輛抵達該處必須停車受檢（如收費站、檢查哨等），合格後方可通行
405,m_sgn_014,choice_image,,右側斷崖,碼頭、堤岸,危險,2,m_sgn_014.webp,此為「碼頭、堤岸」警告標誌，警告前方有水深危險的碼頭或堤岸
406,m_sgn_015,choice_image,,狹路,隧道,狹橋,2,m_sgn_015.webp,此為「隧道」警告標誌，警告前方有隧道，提醒駕駛注意車速與照明
407,m_sgn_016,choice_image,,禁止停車,禁止臨時停車,禁止超車,1,m_sgn_016.webp,此為「禁止停車」禁制標誌，表示在規定的時間或路段內禁止長時間停車
408,m_sgn_017,choice_image,,禁止行人通行,停車再開,禁止任何車輛進入,3,m_sgn_017.webp,此為「禁止進入」禁制標誌，表示禁止任何車輛進入該路段
409,m_sgn_018,choice_image,,禁止行人通行,禁止任何車輛進入,禁止四輪以上汽車進入,3,m_sgn_018.webp,此為「禁止汽車進入」禁制標誌，表示禁止四輪以上汽車進入
410,m_sgn_019,choice_image,,禁止任何車輛進入,禁止拖車進入,禁止大貨車及聯結車進入,3,m_sgn_019.webp,此為「禁止大貨車及聯結車進入」禁制標誌，表示禁止大貨車及聯結車進入
411,m_sgn_020,choice_image,,禁止大型重型機車以外之機車進入,禁止四輪以上汽車進入,禁止超車,1,m_sgn_020.webp,此為「禁止機車進入」禁制標誌，表示禁止普通重型機車及輕型機車進入
412,m_sgn_021,choice_image,,省道路線編號,縣道路線編號,國道路線編號,1,m_sgn_021.webp,此為「省道路線編號」標誌，指示該道路為省道，並標示其編號
413,m_sgn_022,choice_image,,省道路線編號,縣道路線編號,國道路線編號,3,m_sgn_022.webp,此為「國道路線編號」標誌，指示該道路為國道，並標示其編號
414,m_sgn_023,choice_image,,快速公路之省道路線編號,縣道路線編號,國道路線編號,1,m_sgn_023.webp,此為「快速公路之省道路線編號」標誌，指示該道路為快速公路中的省道，並標示其編號
415,m_sgn_024,choice_image,,省道路線編號,市、縣道路線編號,國道路線編號,2,m_sgn_024.webp,此為「市、縣道路線編號」標誌，指示該道路為市道或縣道，並標示其編號
416,m_sgn_025,choice_image,,產業道路編號,縣道路線編號,區、鄉道路線編號標誌,3,m_sgn_025.webp,此為「區、鄉道路線編號」標誌，指示該道路為區道或鄉道，並標示其編號
417,m_sgn_026,choice_image,,雙線以上電化鐵路平交道,雙線以上鐵路平交道,單線電化鐵路平交道,1,m_sgn_026.webp,此為「雙線以上電化鐵路平交道」警告標誌，警告前方有電氣化多股鐵路平交道
418,m_sgn_027,choice_image,,停止線,近障礙物線,車輛停放線,3,m_sgn_027.webp,此為「車輛停放線」，標示車輛應停放的範圍
419,m_sgn_028,choice_image,,停車處,鐵路車站,高速鐵路車站,1,m_sgn_028.webp,此為「停車處」標誌，指示該區域可供車輛停放
420,m_sgn_029,choice_image,,人行天橋,人行地下道,停車處,2,m_sgn_029.webp,此為「人行地下道」標誌，指示前方設有人行地下道，供行人安全通行
421,m_sgn_030,choice_image,,迴轉道,安全方向導引,車道預告,3,m_sgn_030.webp,此為「車道預告」標誌，預告前方路段車道配置，指示不同車道將前往的方向
422,m_sgn_031,choice_image,,迴轉道,安全方向導引,車道預告,2,m_sgn_031.webp,此為「安全方向導引」標誌，引導車輛依箭頭方向行駛，通常設於彎道或危險路段
423,m_sgn_032,choice_image,,警告標誌,道路施工標誌,車輛故障標誌,3,m_sgn_032.webp,此為「車輛故障標誌」，用以警示後方來車前方有故障車輛，提醒注意
424,m_sgn_033,choice_image,機車駕駛人如果在道路上發現圖中的橫向標線時，應該如何反應？,減速慢行,加速通過,檢查輪胎,1,m_sgn_033.webp,圖中橫向標線為「減速標線」，警示駕駛人前方有危險或需減速的狀況
425,m_sgn_034,choice_image,圖中最外側的路面邊線與車道線中間的白色實線為何種標線？,快慢車道分隔線,行車分向線,雙方禁止超車線,1,m_sgn_034.webp,路面邊線與車道線間的白色實線為「快慢車道分隔線」，區隔快車道與慢車道
426,m_sgn_035,choice_image,圖中路口交叉型標線是？,對角線行人穿越道線,網狀線,自行車穿越道線,1,m_sgn_035.webp,圖中路口交叉型標線為「對角線行人穿越道線」，供行人斜向穿越路口
427,m_sgn_036,choice_image,圖中白色箭頭是,左轉彎,避車彎,車道縮減標線,3,m_sgn_036.webp,圖中白色箭頭為「車道縮減標線」，警示前方車道即將縮減
428,m_sgn_037,choice_image,,特種閃光紅燈號誌,禁止通行,車道管制號誌,1,m_sgn_037.webp,此為「特種閃光紅燈號誌」，表示「停車再開」，車輛應停止觀察確認安全後方可通行
429,m_sgn_038,choice_image,,當心自行車,當心行人,當心機車,1,m_sgn_038.webp,此為「當心自行車」警告標誌，警告駕駛人前方路段常有自行車，請注意禮讓
430,m_sgn_039,choice_image,,港埠,渡口,修理站,1,m_sgn_039.webp,此為「港埠」標誌，指示前方為港口或碼頭區域
431,m_sgn_040,choice_image,,捷運車站,鐵路車站,高速鐵路車站,2,m_sgn_040.webp,此為「鐵路車站」標誌，指示前方設有鐵路車站
432,m_sgn_041,choice_image,,公路汽車客運車站或轉運站,捷運車站,計程車招呼站,1,m_sgn_041.webp,此為「公路汽車客運車站或轉運站」標誌，指示前方有公車或客運停靠站
433,m_sgn_042,choice_image,,左轉彎,允讓後車超越,減速暫停,3,m_sgn_042.webp,此手勢表示「減速暫停」，提醒後方車輛駕駛人應減速或暫停
434,m_sgn_043,choice_image,,右轉彎,允讓後車超越,減速暫停,2,m_sgn_043.webp,此手勢表示「允讓後車超越」，指示後方車輛可以安全超車
435,m_sgn_044,choice_image,,右轉彎,允讓後車超越,減速暫停,1,m_sgn_044.webp,此手勢表示「右轉彎」，指示駕駛人準備向右轉彎
436,m_sgn_045,choice_image,,左轉彎,右轉彎,減速暫停,1,m_sgn_045.webp,此手勢表示「左轉彎」，指示駕駛人準備向左轉彎
437,m_sgn_046,choice_image,,車道指定大客車專行,車道指定高乘載車輛專行,車道指定大眾捷運系統車輛專行,3,m_sgn_046.webp,此為「大眾捷運系統車輛專行」標線，指示該車道專供大眾捷運系統車輛行駛
438,m_sgn_047,choice_image,,禁止四輪以上汽車,禁止大客車進入,禁止大眾捷運系統車輛進入,2,m_sgn_047.webp,此為「禁止大客車進入」禁制標誌，表示禁止大客車進入
439,m_sgn_048,choice_image,,車道指定四輪以上汽車及排氣量 550 立方公分以上之大型重型機車專行,車道指定四輪以上汽車及大型重型機車專行,車道指定四輪以上汽車及大型重型機車以外之機車專行,2,m_sgn_048.webp,這是「車道指定四輪以上汽車及大型重型機車專行」標誌指示該車道僅供四輪以上汽車及大型重型機車行駛
440,m_sgn_049,choice_image,,車道指定大客車專行,車道指定高乘載車輛專行,車道指定大眾捷運系統車輛專行,1,m_sgn_049.webp,此為「車道指定大客車專行」標誌，表示該車道專供大客車行駛
441,m_sgn_050,choice_image,,禁止大客車及大貨車進入,禁止四輪以上汽車及大貨車進入,禁止大客車、大貨車及聯結車進入,3,m_sgn_050.webp,此為「禁止大客車、大貨車及聯結車進入」標誌，表示該路段禁止這三類大型車輛駛入
442,m_sgn_051,choice_image,,雙線以上鐵路平交道,單線鐵路平交道,單線電化鐵路平交道,3,m_sgn_051.webp,此為「單線電化鐵路平交道」標誌，表示前方為有架空電車線的單線鐵路平交道
443,m_sgn_052,choice_image,,地名,車道指示,地名方向指示,2,m_sgn_052.webp,此為「車道指示」標誌，用以指示前方各車道之行駛方向或指定特定車輛行駛
444,m_sgn_053,choice_image,自行車騎士手勢預告即將,右轉,左轉,減速暫停,1,m_sgn_053.webp,自行車騎士以手勢預告即將「右轉」時，通常為伸直右臂水平向右，或左臂向上彎曲
445,m_sgn_054,choice_image,自行車騎士手勢預告即將,右轉,左轉,減速暫停,3,m_sgn_054.webp,自行車騎士以手勢預告即將「減速暫停」時，通常會將左臂向下伸直，手掌向後
446,m_sgn_055,choice_image,,無柵門鐵路平交道,有柵門鐵路平交道,禁止汽車進入,1,m_sgn_055.webp,此為「無柵門鐵路平交道」警示標誌，警告前方有平交道且未設柵門，應特別注意安全
447,m_sgn_056,choice_image,,禁止汽車進入,無柵門鐵路平交道,有柵門鐵路平交道,3,m_sgn_056.webp,此為「有柵門鐵路平交道」警示標誌，警告前方有平交道且設有柵門設備509,m_sgn_057,choice_image,,雙向道,救護站,岔路,3,m_sgn_057.webp,此為「岔路」標誌，提醒前方道路將出現 Y 型或丁字型分岔路口
510,m_sgn_058,choice_image,,岔路,雙向道,禁止行人通行,1,m_sgn_058.webp,此為「岔路」標誌，表示前方有支線道路匯入或分出
511,m_sgn_059,choice_image,,狹路,雙向道,岔路,3,m_sgn_059.webp,此為「岔路」標誌，表示前方將出現向右或向左之分岔路口
512,m_sgn_060,choice_image,,險升坡,險降坡,碼頭,1,m_sgn_060.webp,此為「險升坡」標誌，表示前方道路有陡峭的上坡路段
513,m_sgn_061,choice_image,,停車再開,當心台車,當心行人,2,m_sgn_061.webp,此為「當心台車」標誌，提醒駕駛注意軌道車輛或採礦車輛通行
514,m_sgn_062,choice_image,,當心行人,當心兒童,禁止行人通行,2,m_sgn_062.webp,此為「當心兒童」標誌，提醒駕駛人前方有兒童出沒，應減速慢行
515,m_sgn_063,choice_image,,當心兒童,當心行人,禁止行人通行,2,m_sgn_063.webp,此為「當心行人」標誌，提醒駕駛人前方可能有行人通行，應提高警覺
516,m_sgn_064,choice_image,,注意號誌,危險,行車管制號誌,1,m_sgn_064.webp,此為「注意號誌」標誌，提醒駕駛人前方路口設有行車管制號誌
