原 id,id,type,question,option_1,option_2,option_3,answer,media_file,解析,,,,,,
1,m_sit_001,choice_image,依據圖示，哪一位駕駛人配戴機車安全帽才「正確」？,A,B,C,3,m_sit_001.webp,安全帽應正確配戴，繫緊頤帶，不可鬆脫或反戴，以確保行車安全,,,,,,
2,m_sit_002,choice_image,依據圖示，違反下列哪項規定？,配戴安全帽規定,附載坐人的乘坐方向規定,附載人數規定,3,m_sit_002.webp,機車附載坐人應遵守規定，原則上僅限附載一人，確保行車穩定及安全,,,,,,
3,m_sit_003,choice_image,依據圖示，有關機車載物寬度 A 何者「正確」？,不超過機車的左右把手外緣各 10 公分,不超過機車的左右車身外緣各 20 公分,只要不妨礙兩旁的其他用路人即可,1,m_sit_003.webp,機車載物寬度，不得超越把手外緣各 10 公分，以避免影響操控與其他用路人,,,,,,
4,m_sit_004,choice_image,依據圖示，有關機車載物長度 C 何者「正確」？,自後輪輪軸起不超過 50 公分,自後輪輪軸起不超過 100 公分,以不妨礙操控為原則,1,m_sit_004.webp,機車載物長度規定，自後輪軸起不得伸出超過 50 公分，以確保行車安全,,,,,,
5,m_sit_005,choice_image,依據圖示，三角形「△」標記代表何意義？,輪胎規格尺寸的記號,尋找「輪胎胎面磨耗指示平台」位置的導引記號,輪胎胎面寬度的記號,2,m_sit_005.webp,輪胎上的三角形「△」標記，是用來指示胎面磨耗指示平台的位置，方便檢查輪胎磨損狀況,,,,,,
6,m_sit_006,choice_image,依據圖示，機車輪胎之紅色圈選處，代表的意義為何？,輪胎胎面之「磨擦力指示平台」，此點可以增加輪胎之磨擦力,輪胎胎面之「脆弱指示點」，此點最脆弱使用時不可以破損,輪胎胎面之「磨耗指示平台」，若輪胎溝紋磨耗到此點時，就應更換輪胎,3,m_sit_006.webp,機車輪胎紅色圈選處為磨耗指示平台，當胎紋磨耗至此點，表示深度不足，應立即更換輪胎，確保行車安全,,,,,,
7,m_sit_007,choice_image,依據圖示，當機車直行時，哪些區域是駕駛人無法利用照後鏡看見的視野範圍？,A、C、E,A、B、C,C、D、E,1,m_sit_007.webp,機車直行時，照後鏡無法看見 A、C、E 區域，這些是視野死角駕駛人應轉頭確認，以防範事故,,,,,,
8,m_sit_008,choice_image,依據圖示，當騎機車並行於汽車的左側或右側時，要注意圖中哪些區域，以免因視野死角而發生事故？,B、C,A、E,C、D,2,m_sit_008.webp,騎機車並行汽車時，需注意汽車的 A、E 區域，此為汽車的視野死角，機車應避免長時間停留於這些區域,,,,,,
9,m_sit_009,choice_image,依據圖示，當汽車要左轉時，後方的機車駕駛人要特別小心，是因為汽車駕駛人看不到圖中哪個區域？,A,B,C,1,m_sit_009.webp,汽車左轉時，駕駛人通常看不到左後方 A 區域的機車機車應特別小心，保持安全距離,,,,,,
10,m_sit_010,choice_image,依據圖示，當汽車要右轉時，後方的機車駕駛人要特別小心，是因為汽車駕駛人看不到圖中哪個區域？,C,D,E,3,m_sit_010.webp,汽車右轉時，駕駛人常看不到右後方 E 區域的機車機車應特別小心，預留反應時間並保持安全,,,,,,
11,m_sit_011,choice_image,依據圖示，大型車右轉時，機車駕駛人應避免進入的內輪差範圍為何？,A 區域,B 區域,C 區域,2,m_sit_011.webp,大型車右轉時有內輪差，B 區域為危險範圍，機車應避免進入以防碰撞,,,,,,
12,m_sit_012,choice_image,依據圖示，騎乘機車右轉彎時，應如何行駛較安全？,搶快超前轉彎,靠邊暫停於 A 處，待大型車轉彎後再行轉彎,靠邊暫停於 B,2,m_sit_012.webp,大型車轉彎半徑大，機車應暫停於安全處（A 處），待大型車完成轉彎後再通過,,,,,,
13,m_sit_013,choice_image,依據圖示，機車駕駛人應如何行駛較安全？A.大型車駕駛座較高，前方有視野死角，機車駕駛人應避免騎在前方 B.機車駕駛人要與大型車輛保持一段安全距離與間隔 C.立即煞車，等大型車通過後再行駛 D.搶快超前轉彎,A、B,B、C,A、D,1,m_sit_013.webp,大型車有視野死角與內輪差機車應避免進入死角，並保持安全距離與間隔,,,,,,
14,m_sit_014,choice_image,依據圖示，機車駕駛人應如何行駛較安全？,轉彎車須讓直行車先行，因此機車可加速超越大型車,放慢車速，遠離並避讓大型車先行,緊跟在大型車旁邊,2,m_sit_014.webp,大型車轉彎易有內輪差與視野死角機車應放慢車速、遠離並禮讓先行，確保安全,,,,,,
15,m_sit_015,choice_image,依據圖示，機車駕駛人應如何行駛較能確保行車安全？,應先放鬆油門減速行駛，以免在轉彎時失控,保持一定的速度行駛,不須減速，也無須做好傾斜車身的準備動作,1,m_sit_015.webp,機車轉彎前應先放鬆油門減速，並準備傾斜車身，穩定過彎，避免失控,,,,,,
16,m_sit_016,choice_image,依據圖示，機車駕駛人應如何行駛較能確保行車安全？,急加速,急減速,保持適當速度,3,m_sit_016.webp,行駛中保持適當速度，可確保有足夠反應時間，提升行車安全,,,,,,
17,m_sit_017,choice_image,依據圖示，機車駕駛人應如何行駛較能確保行車安全？,不管車頭及車身是否轉正，立即加速朝直線前進,應把車頭逐漸轉正，安全確認沒問題後，即可加速前進,完全放鬆油門行駛,2,m_sit_017.webp,轉彎後應先將車頭逐漸轉正，確認周遭安全無虞後再平穩加速前進,,,,,,
18,m_sit_018,choice_image,依據圖示，機車駕駛人右轉時應如何行駛？,停車並讓行人優先通過，待行人穿越後再行駛,停車並按鳴喇叭，以催促行人快速通過,直接繞過行人以迅速完成右轉的動作,1,m_sit_018.webp,右轉時，應停車並禮讓行人優先通過，確保行人安全後再行駛,,,,,,
19,m_sit_019,choice_image,依據圖示，機車駕駛人應如何行駛？,仍應停於 A 區，讓行人優先通過,可向前騎向 B 區，並連續按鳴喇叭 3 次以上催促行人快速通過,應直接繞過行人，前行通過路口,1,m_sit_019.webp,行經路口應停於 A 區禮讓行人優先通過，確保行人安全，不可鳴喇叭催促或繞行,,,,,,
20,m_sit_020,choice_image,依據圖示，機車駕駛人「X」直行時，應如何行駛較安全？,向前騎入 B 區停等，待前方壅堵車流疏通後，再通過路口,仍應停於 A 區，待前方壅堵車流疏通後，再通過路口,繼續前進，直接跟著前車通過路口,2,m_sit_020.webp,遇路口壅堵時，應停於 A 區停止線後方，待前方車流疏通淨空後，再通過路口,,,,,,
21,m_sit_021,choice_image,依據圖示，機車駕駛人的行駛方式何者容易發生危險？,雖尚未通過停止線，但仍可加速前行通過路口,若尚未通過停止線，則應停於停止線前，待下一個綠燈顯示時再通過路口,若已通過停止線，則應繼續前行通過路口，但仍須注意左右兩側的來車狀況,1,m_sit_021.webp,尚未通過停止線，若號誌不允許通行，加速通過路口極易與橫向來車或行人發生碰撞，非常危險,,,,,,
22,m_sit_022,choice_image,依據圖示，機車駕駛人應停於圖中何處？,A 區,B 區,C 區,1,m_sit_022.webp,機車應停放於停止線前的機車停等區（A 區），等待號誌變換，以確保安全與交通秩序,,,,,,
23,m_sit_023,choice_image,依據圖示，機車不可行駛在哪一個車道上？,A 車道,B 車道,C 車道,1,m_sit_023.webp,依圖示標線或標誌指示，A 車道可能為禁行機車道或專用車道，機車應避免行駛,,,,,,
24,m_sit_024,choice_image,依據圖示，機車不可行駛在哪一個車道上？,A 車道,B 車道,C 車道,1,m_sit_024.webp,依圖示判斷，A 車道可能為內側快車道或設有禁行機車標誌，機車應避免行駛,,,,,,
25,m_sit_025,choice_image,依據圖示，機車不可行駛在哪一個車道上？,A 車道,B 車道,C 車道,3,m_sit_025.webp,依圖示規定，C 車道可能為專用道（如公車專用道）或設有禁行機車標誌，機車不可行駛,,,,,,
26,m_sit_026,choice_image,依據圖示，普通重型機車駕駛人「Y」兩段式左轉從 A 區行駛至 B 待轉區時，該如何行駛較安全？,不需顯示方向燈，直接行駛至 B 區,需顯示右方向燈，先變換至外側車道後，再行駛至 B 區,直行駛至 B 區前方待停即可,2,m_sit_026.webp,兩段式左轉需先顯示右方向燈，變換至外側車道，再進入待轉區,,,,,,
