原 id,id,type,question,option_1,option_2,option_3,answer,media_file,解析
1,m_txt_001,choice_text,機車附載物品，高度不可超過駕駛人,頭部,肩部,腰部,2,,機車附載物品高度不得超過駕駛人肩部，以確保行車視野與穩定性
2,m_txt_002,choice_text,機車附載物品，寬度不可超過車輛把手外緣,10 公分,2 公尺,1 公尺半,1,,機車附載物品寬度不得超出把手外緣各 10 公分，以維持操控性及避免擦撞
3,m_txt_003,choice_text,重型機車，附載物品重量，不得超過,50 公斤,80 公斤,90 公斤,2,,重型機車附載物品重量限制為 80 公斤，確保車輛安全負荷
4,m_txt_004,choice_text,機車附載物品，長度規定伸出車尾部分，自後輪軸起，不得超過,半公尺,1 公尺,3 公尺,1,,機車附載物品伸出車尾部分，自後輪軸起不得超過半公尺（50 公分）
5,m_txt_005,choice_text,普通輕型機車附載物件，重量規定,以 40 公斤為限,以 50 公斤為限,以 20 公斤為限,2,,普通輕型機車附載物品重量以 50 公斤為限，確保車輛行駛安全
6,m_txt_006,choice_text,關於機車載物的規定，下列何者不正確？,得載運高於騎士肩膀以上之貨物,寬度不得超過把手外緣 10 公分,伸出車尾部分，自後輪軸起不得超過 50 公分,1,,機車載物高度不得超過駕駛人肩部，高於肩部會影響視線與穩定性
7,m_txt_007,choice_text,機車附載人員或物品，下列何者不正確？,小型輕型機車不得附載人員，重型及普通輕型機車在駕駛人後設有固定座位者，得附載 1 人,附載坐人後，不得另載物品,附載坐人可以側坐,3,,機車附載人員不得側坐，以確保乘客安全與行車穩定
8,m_txt_008,choice_text,機車附載乘客之原則，何者不正確？,附載乘客不可側坐,普通輕型機車不可附載乘客,重型機車限載 1 人,2,,普通輕型機車只要後座有固定座位，即可附載一人
10,m_txt_009,choice_text,機車所附載之貨物，長度規定下列何者正確？,自座位後部起不得向前超伸,自座位後部起向前不得伸出超過一公尺,自座位後部起向前不得伸出超過二十公分,1,,機車載物自駕駛人座位後部起，不得向前超伸，以避免影響駕駛操作
11,m_txt_010,choice_text,機車附載物品超過車尾，最長不得超過多少？,自後輪軸起不得超過半公尺,自後輪軸起不得超過一公尺,自車尾（車身）起不得伸出超過半公尺,1,,機車附載物品伸出車尾部分，自後輪軸起最長不得超過半公尺（50 公分）
12,m_txt_011,choice_text,機車載物之長度，自座位後部起有何規定？,不得向前超伸,得向前伸出但不得超過把手,無相關限制,1,,機車載物自駕駛人座位後部起，不得向前超伸，以免妨礙駕駛
13,m_txt_012,choice_text,機車載物時，所載貨物的最大寬度限制為何？,不得超過把手外緣 10 公分,不得超過把手外緣 15 公分,不得超過機車把手寬度,1,,機車載物寬度不得超過把手外緣各 10 公分，以維持車身穩定及行車安全
14,m_txt_013,choice_text,機車載運貨物時，關於裝載規定，下列敘述何者正確？,貨物以繩索確實固定且未遮蔽車尾燈號者，得不受尺寸限制,貨物寬度未超出車把手且重量在駕駛人可控制範圍內，即符合規定,載運貨物應遵守法定之寬度、長度、高度及重量限制，不得超載,3,,機車載運貨物必須遵守法定的寬度、長度、高度及重量限制，不得超載
15,m_txt_014,choice_text,機車附載人員或物品，以下規定何者正確？,小型輕型機車、重型及普通輕型機車在駕駛人後設有固定座位者，得附載一人,載物者，小型輕型不得超過三十公斤；普通輕型不得超過六十公斤；重型不得超過九十公斤,附載坐人後，不得另載物品但零星物品不影響駕駛人及附載人員之安全者，不在此限,3,,附載坐人後原則上不得另載物品，但零星不影響安全的小物品則不在此限
16,m_txt_015,choice_text,若機車附載人員或物品違反規定，將處罰誰？,乘客,機車駕駛人,機車駕駛人及乘客,2,,違反機車附載規定，依法處罰機車駕駛人，駕駛人負有管理責任
17,m_txt_016,choice_text,機車附載人員或物品未依規定者，將處駕駛人多少罰鍰？,新臺幣 300 元~600 元罰鍰,"新臺幣 600 元~1,200 元罰鍰","新臺幣 1,200 元~2,400 元罰鍰",1,,機車附載人員或物品未依規定者，將處駕駛人新臺幣 300 元至 600 元罰鍰
